edad;clase_trabajo;peso_final;educacion;años_educacion;estado_civil;ocupacion;relacion_familiar;raza;sexo;ganancia_capital;perdida_capital;horas_semana;pais_origen;ingreso
47;privado;436770;  tecnico vocacional  ;11;soltero/a;profesional especializado;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
29;privado;180758;tecnico academico;12;soltero/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;60;estados unidos;<=50k
35;privado;175232;secundaria completa;9;divorciado/a;limpieza/mantenimiento;otro familiar;blanco/a;masculino;0;0;40;estados unidos;<=50k
28;privado;298696;licenciatura;13;soltero/a;administrativo;hijo/a propio/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
26;privado;226196;secundaria completa;9;soltero/a;transporte/logistica;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
22;privado;112137;universitario incompleto;10;soltero/a;profesional especializado;otro familiar;asiatico/isleno pacifico;femenino;0;0;20;corea del sur;<=50k
60;privado;184183;secundaria completa;9 años;divorciado/a;operador de maquinaria;sin familia conviviente;blanco/a;masculino;4650;0;40;estados unidos;<=50k
32;privado;204742;licenciatura;13;casado/a;profesional especializado;esposo;blanco/a;MASCULINO;0;0;40;estados unidos;mayor 50k
26;gobierno estatal;109193;universitario incompleto;10;soltero/a;oficios/reparacion;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
39;gobierno local;98587;universitario incompleto;10;divorciado/a;profesional especializado;hijo/a propio/a;blanco/a;femenino;0;0;45;estados unidos;<=50k
43;privado;212847;universitario incompleto;10;divorciado/a;operador de maquinaria;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
34;privado;376979;9 grado;5;soltero;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
60;privado;181953;  secundaria completa  ;9;casado/a;transporte/logistica;esposo;blanco/a;masculino;0;0;28;estados unidos;<=50k
18;Privado;210828;universitario incompleto;10;soltero/a;limpieza/mantenimiento;hijo/a propio/a;otro;masculino;0;0;30;estados unidos;<=50k
49;privado;160647;licenciatura;13;casado/a;administrativo;esposa;blanco/a;femenino;0;0;40;estados unidos;>50k
45;privado;51744;licenciatura;13;soltero/a;ejecutivo/gerente;sin familia conviviente;blanco/a;femenino;0;0;42;estados unidos;<=50k
62;sin remuneracion;159908;universitario incompleto;10;casado/a;administrativo;esposa;blanco/a;femenino;0;0;16;estados unidos;<=50k
46;privado;405309;secundaria completa;9;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50,000
23;privado;329925;universitario incompleto;10;soltero/a;limpieza/mantenimiento;hijo/a propio/a;blanco/a;masculino;0;0;30;estados unidos;<=50k
19;privado;35245;secundaria completa;9;soltero/a;transporte/logistica;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
