MovieID,Title,Genre,ReleaseYear,ReleaseDate,Country,BudgetUSD,Global_BoxOfficeUSD,IMDbRating,NumVotesIMDb,Director,LeadActor
61044,Companeros,Action,1970.0,1970-12-18,Italy,,,6.7,16,,
317121,All of My Heart,Romance,2015.0,2015-02-14,United States,,,6.3,12,,
200157,Walking with Beasts,Documentary,2001.0,2001-12-21,United Kingdom,,,7.3,11,,
331214,Band of Brothers,Action,2001.0,2001-09-09,United Kingdom,125000000.0,,8.2,725,,
13475,Star Trek,Science Fiction,2009.0,2009-05-06,Germany,150000000.0,385680446.0,7.4,4574,,
101852,Shuffle,Thriller,2012.0,2012-03-20,United States of America,500000.0,,6.4,14,,
33688,Jonny Vang,Comedy,2003.0,2003-02-14,Norway,,,6.0,5,,
221731,Rurouni Kenshin: Kyoto Inferno,Action,2014.0,2014-08-01,Japan,,,7.4,113,,
204607,Muirhouse,,2013.0,2013-06-18,United States,,,3.8,4,,
182972,Cargo,Fantasy,2013.0,2013-04-02,Australia,,,8.3,11,,
8080,Suspect Zero,Crime,2004.0,2004-08-27,Germany,27000000.0,13000000.0,5.5,99,,
17158,They Wait,Horror,2007.0,2007-09-06,Canada,,,5.0,30,,
320703,The Dramatics: A Comedy,Romance,2015.0,2015-02-10,United States of America,,,5.3,6,,
41582,Monkey Trouble,Comedy,1994.0,1994-03-18,Japan,,16453258.0,5.8,41,,
152760,The Monuments Men,War,2014.0,2014-01-24,Germany,70000000.0,154984035.0,5.8,1545,,
60489,The Last Patrol,Drama,2001.0,2001-08-21,Israel,3000000.0,,3.8,9,,
324668,Jason Bourne,Action,2016.0,2016-07-27,United Kingdom,120000000.0,415484914.0,5.9,2386,,
396330,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,Adventure,2016.0,2016-06-21,United States of America,,,7.0,22,,
48250,Fascisti su Marte,Comedy,2006.0,2006-10-27,Italy,,,6.5,13,,
321678,PMMP – Life is Right Here,Documentary,2015.0,2015-01-31,Finland,,,0.0,0,,
321645,This Is Normal,Drama,2013.0,2013-04-09,United States,,,8.0,2,,
1926,11'09''01 - September 11,Drama,2002.0,2002-09-04,Bosnia and Herzegovina,,,6.1,24,,
358982,Eden Lodge,Thriller,2015.0,2015-08-24,United Kingdom,,,3.7,7,,
53215,Kiwi!,Animation,2006.0,2006-01-01,United States,,,6.5,41,,
7837,The Time Shifters,Science Fiction,1999.0,1999-10-17,United States of America,,,5.2,15,,
20239,Fear of a Black Hat,Comedy,1994.0,1994-10-28,United Kingdom,,,5.8,11,Rusty Cundieff,
